Country_Code,Year,WB_Pubs
EAP,1999,48482.9427679892
EAP,1998,46845.5040406627
EAP,1997,40284.4387947809
EAP,1996,36169.474407637
TEA,2022,991470.328324497
TEA,2021,863675.970709972
TEA,2020,754404.144636526
TEA,2019,694287.133985583
TEA,2018,594210.725394068
TEA,2017,518772.391075057
TEA,2016,477078.7
TEA,2015,442014.66
TEA,2014,416794.39
TEA,2013,384400.11
TEA,2012,355789.41
TEA,2011,348630.469073861
TEA,2010,330566.117927129
TEA,2009,302658.304973569
TEA,2008,261968.649531745
TEA,2007,224223.466785622
TEA,2006,202495.128537672
TEA,2005,173801.293400451
TEA,2004,128096.611504089
TEA,2003,93997.5790193028
TEA,2002,80015.5546705882
TEA,2001,74709.8663681798
TEA,2000,57408.1367720932
TEA,1999,48484.4759700272
TEA,1998,46846.3264998811
TEA,1997,40284.5576653956
TEA,1996,36170.1341846869
EMU,2022,485477.0
EMU,2021,502374.43
EMU,2020,469341.02
EMU,2019,453704.98
EMU,2018,439361.75
EMU,2017,436622.28
EMU,2016,434928.26
EMU,2015,433525.18
EMU,2014,432501.95
EMU,2013,424998.56
EMU,2012,417599.4
EMU,2011,402546.35
EMU,2010,387592.34
EMU,2009,379306.25
EMU,2008,363977.34
EMU,2007,347113.66
EMU,2006,332160.32
EMU,2005,315843.06
EMU,2004,285867.09
EMU,2003,270110.61
EMU,2002,257670.53
EMU,2001,249509.06
EMU,2000,242034.35
EMU,1999,231834.37
EMU,1998,233552.52
EMU,1997,231703.99
EMU,1996,220530.18
ECS,2022,913901.439008398
ECS,2021,955184.787392385
ECS,2020,890956.15104762
ECS,2019,862798.217449542
ECS,2018,819402.337821159
ECS,2017,802851.812299825
ECS,2016,791472.358812431
ECS,2015,775207.79686165
ECS,2014,759417.550112229
ECS,2013,739445.164919255
ECS,2012,722787.984499217
ECS,2011,696401.890667386
ECS,2010,670534.226471664
ECS,2009,653925.081769463
ECS,2008,626930.848947595
ECS,2007,601404.255140224
ECS,2006,576060.092090821
ECS,2005,554553.400615754
ECS,2004,509082.82600528
ECS,2003,480737.007385234
ECS,2002,462184.513959732
ECS,2001,449434.549662815
ECS,2000,436795.260397264
ECS,1999,417760.629969343
ECS,1998,422262.874129352
ECS,1997,418041.194606576
ECS,1996,402413.960780704
ECA,2022,84114.97
ECA,2021,80665.06
ECA,2020,70513.47
ECA,2019,65802.74
ECA,2018,56836.2
ECA,2017,54364.46
ECA,2016,54568.6
ECA,2015,50717.69
ECA,2014,48425.51
ECA,2013,47948.52
ECA,2012,45804.1
ECA,2011,43254.69
ECA,2010,40953.72
ECA,2009,38764.79
ECA,2008,34871.51
ECA,2007,33976.6744963163
ECA,2006,31318.9922322314
ECA,2005,30411.7940926647
ECA,2004,27897.0390444819
ECA,2003,24803.2218224458
ECA,2002,22313.9942090811
ECA,2001,20392.6887247072
ECA,2000,16903.3558782595
ECA,1999,16630.6009063232
ECA,1998,16620.0332748332
ECA,1997,16014.9152845875
ECA,1996,15202.4075263508
TEC,2022,227899.81
TEC,2021,245451.11
TEC,2020,223829.54
TEC,2019,212876.1
TEC,2018,187315.48
TEC,2017,174024.17
TEC,2016,166041.96
TEC,2015,152426.34
TEC,2014,140779.61
TEC,2013,133199.56
TEC,2012,126982.61
TEC,2011,121909.49
TEC,2010,116426.09
TEC,2009,111623.85
TEC,2008,104583.76
TEC,2007,97987.7034976742
TEC,2006,92470.380455462
TEC,2005,93955.2626404511
TEC,2004,89201.6608658808
TEC,2003,83385.8266941074
TEC,2002,80912.2864714154
TEC,2001,77723.5857107797
TEC,2000,69011.2310429158
TEC,1999,67168.0508155151
TEC,1998,68665.8632500963
TEC,1997,66713.4781830893
TEC,1996,66810.3517782762
EUU,2022,601005.69
EUU,2021,623771.67
EUU,2020,583137.84
EUU,2019,565671.96
EUU,2018,546323.77
EUU,2017,542190.59
EUU,2016,539703.12
EUU,2015,537776.96
EUU,2014,532906.16
EUU,2013,520062.01
EUU,2012,509747.79
EUU,2011,490006.71
EUU,2010,471464.23
EUU,2009,459076.52
EUU,2008,440519.51
EUU,2007,418517.98
EUU,2006,399969.29
EUU,2005,380153.54
EUU,2004,344586.24
EUU,2003,324674.17
EUU,2002,309718.88
EUU,2001,299798.25
EUU,2000,290457.92
