Country_Code,Year,Total_Docs_OA
CIV,2000,302
TJK,2000,294
ECU,2000,282
PAN,2000,267
MOZ,2000,250
AZE,2000,240
MKD,2000,236
MDA,2000,217
NER,2000,217
BDI,2000,212
JAM,2000,199
BWA,2000,198
BEN,2000,187
MNG,2000,186
GTM,2000,183
IRQ,2000,183
MLT,2000,172
MWI,2000,169
ZMB,2000,169
MLI,2000,164
SDN,2000,163
KHM,2000,160
SYR,2000,158
SLV,2000,155
GLP,2000,142
BFA,2000,140
NIC,2000,132
TTO,2000,122
MDG,2000,121
YEM,2000,118
PRY,2000,115
REU,2000,114
DOM,2000,113
BIH,2000,112
RWA,2000,110
BHR,2000,107
PSE,2000,106
ALB,2000,92
GMB,2000,91
LBY,2000,84
PNG,2000,82
BRB,2000,80
BRN,2000,80
HND,2000,75
BLZ,2000,73
COD,2000,72
GAB,2000,69
GUF,2000,67
MUS,2000,67
NCL,2000,67
MTQ,2000,63
FJI,2000,61
TGO,2000,61
LAO,2000,59
COG,2000,56
GNB,2000,55
NAM,2000,50
KGZ,2000,47
GUM,2000,46
MNE,2000,46
STP,2000,46
CUW,2000,45
LIE,2000,43
PYF,2000,43
SOM,2000,40
MCO,2000,39
AFG,2000,38
AGO,2000,38
SWZ,2000,38
GIB,2000,32
MAC,2000,32
ERI,2000,30
SLE,2000,30
GRL,2000,29
GIN,2000,25
SYC,2000,25
BMU,2000,24
CAF,2000,22
LSO,2000,22
TCD,2000,22
VIR,2000,22
TKM,2000,21
CYM,2000,20
MRT,2000,20
LBR,2000,19
BHS,2000,16
HTI,2000,16
DJI,2000,15
IMN,2000,15
CPV,2000,14
GUY,2000,14
ATG,2000,13
FRO,2000,12
KNA,2000,12
MSR,2000,12
MDV,2000,12
TON,2000,12
VAT,2000,12
GRD,2000,11
PRK,2000,10
VUT,2000,10
ASM,2000,9
USA,1996,401419
GBR,1996,107478
JPN,1996,94209
DEU,1996,80902
FRA,1996,63039
CAN,1996,46160
ITA,1996,37459
AUS,1996,28445
ESP,1996,25300
NLD,1996,23597
CHN,1996,22376
RUS,1996,19971
IND,1996,18797
SWE,1996,16796
CHE,1996,15980
POL,1996,15813
BEL,1996,13640
BRA,1996,12606
ISR,1996,11194
TWN,1996,9965
KOR,1996,9853
DNK,1996,8339
MEX,1996,8096
AUT,1996,8003
FIN,1996,7659
NOR,1996,6287
CZE,1996,6246
GRC,1996,5394
NZL,1996,4997
ZAF,1996,4868
HUN,1996,4803
TUR,1996,4654
ARG,1996,4336
HKG,1996,3951
IRL,1996,3410
SGP,1996,3198
UKR,1996,3089
PRT,1996,3020
EGY,1996,2815
SVK,1996,2676
CHL,1996,2524
BGR,1996,2250
HRV,1996,1769
ROU,1996,1714
SAU,1996,1696
COL,1996,1571
SVN,1996,1496
PAK,1996,1277
THA,1996,1277
NGA,1996,1243
MAR,1996,1241
TUN,1996,1238
MYS,1996,1221
VEN,1996,1197
SRB,1996,1102
CUB,1996,1063
IRN,1996,967
IDN,1996,864
BLR,1996,842
KEN,1996,806
PER,1996,725
PRI,1996,654
EST,1996,625
BGD,1996,615
VNM,1996,615
PHL,1996,578
LVA,1996,575
DZA,1996,524
KWT,1996,508
CRI,1996,491
LTU,1996,482
ARM,1996,432
SSD,1996,405
JOR,1996,391
URY,1996,374
ARE,1996,340
TZA,1996,330
GHA,1996,323
ISL,1996,320
CMR,1996,316
ZWE,1996,312
ETH,1996,311
LKA,1996,296
UGA,1996,272
LUX,1996,251
QAT,1996,250
SEN,1996,235
CYP,1996,225
LBN,1996,225
KAZ,1996,220
UZB,1996,218
AZE,1996,216
NPL,1996,215
CIV,1996,211
MMR,1996,209
NER,1996,209
GEO,1996,202
BOL,1996,201
PAN,1996,198
TJK,1996,183
OMN,1996,182
GTM,1996,178
MDA,1996,176
JAM,1996,170
BDI,1996,164
VGB,1996,144
MLI,1996,136
ECU,1996,135
IRQ,1996,133
MLT,1996,129
MKD,1996,122
SYR,1996,122
MOZ,1996,118
PNG,1996,118
MWI,1996,114
MNG,1996,113
SLV,1996,112
KHM,1996,107
ZMB,1996,104
SDN,1996,101
TTO,1996,97
BHR,1996,96
BWA,1996,95
DOM,1996,89
REU,1996,88
PRY,1996,82
ALB,1996,80
BEN,1996,79
BFA,1996,73
GLP,1996,70
GMB,1996,69
BRN,1996,66
YEM,1996,66
GNB,1996,64
MDG,1996,64
BIH,1996,62
NIC,1996,62
HND,1996,58
PSE,1996,56
MCO,1996,47
LBY,1996,46
BRB,1996,45
COD,1996,42
NCL,1996,41
LAO,1996,40
GAB,1996,38
MTQ,1996,37
PYF,1996,37
FJI,1996,36
GUM,1996,33
GUF,1996,31
MNE,1996,31
CUW,1996,30
TGO,1996,29
NAM,1996,28
COG,1996,27
GIB,1996,26
RWA,1996,26
SLE,1996,26
MUS,1996,23
IMN,1996,20
VIR,1996,19
BMU,1996,18
LIE,1996,17
BHS,1996,16
KGZ,1996,16
SOM,1996,16
FRO,1996,15
GIN,1996,15
LSO,1996,15
BLZ,1996,14
SWZ,1996,14
AGO,1996,13
HTI,1996,13
ASM,1996,12
GRL,1996,12
MAC,1996,12
STP,1996,12
PRK,1996,11
CYM,1996,10
MDV,1996,10
AFG,1996,9
GUY,1996,8
KNA,1996,8
MRT,1996,8
TKM,1996,8
VAT,1996,8
JEY,1996,7
SMR,1996,7
DJI,1996,6
LBR,1996,6
SJM,1996,6
SUR,1996,6
ATG,1996,5
ERI,1996,5
FSM,1996,5
GRD,1996,5
SYC,1996,5
TCD,1996,5
USA,2001,466283
GBR,2001,129203
JPN,2001,118675
DEU,2001,107351
FRA,2001,84468
CHN,2001,70035
CAN,2001,53540
ITA,2001,46692
ESP,2001,40123
AUS,2001,38073
RUS,2001,32640
NLD,2001,29995
BRA,2001,26971
IND,2001,26166
POL,2001,22783
KOR,2001,21738
CHE,2001,21108
SWE,2001,21081
BEL,2001,19372
TWN,2001,18318
ISR,2001,13796
MEX,2001,12174
AUT,2001,11444
DNK,2001,10967
FIN,2001,9877
TUR,2001,9366
CZE,2001,8796
GRC,2001,8665
HKG,2001,8433
NOR,2001,8334
ARG,2001,6994
HUN,2001,6906
NZL,2001,6768
ZAF,2001,6592
SGP,2001,6543
PRT,2001,6274
UKR,2001,6006
IRL,2001,5187
EGY,2001,4298
CHL,2001,4254
SVK,2001,3426
COL,2001,3368
THA,2001,2724
ROU,2001,2709
BGR,2001,2672
SVN,2001,2621
IRN,2001,2517
HRV,2001,2324
VEN,2001,2285
CUB,2001,2065
MAR,2001,1972
MYS,2001,1913
NGA,2001,1898
IDN,2001,1842
TUN,2001,1838
SAU,2001,1782
BLR,2001,1674
PAK,2001,1575
SRB,2001,1429
VNM,2001,1391
KEN,2001,1339
DZA,2001,1207
PER,2001,1204
LTU,2001,1001
EST,2001,919
BGD,2001,899
PRI,2001,863
ETH,2001,854
LVA,2001,841
PHL,2001,804
TZA,2001,769
CRI,2001,765
KWT,2001,679
UGA,2001,667
GHA,2001,651
ARM,2001,604
URY,2001,603
JOR,2001,596
LBN,2001,573
ARE,2001,571
QAT,2001,546
LUX,2001,521
CMR,2001,503
UZB,2001,502
LKA,2001,491
ISL,2001,489
CYP,2001,461
SEN,2001,424
ZWE,2001,408
NPL,2001,407
BOL,2001,403
SSD,2001,403
OMN,2001,387
KAZ,2001,384
MMR,2001,379
VGB,2001,335
MKD,2001,317
GEO,2001,313
PAN,2001,301
CIV,2001,300
MOZ,2001,258
TJK,2001,257
AZE,2001,249
ECU,2001,246
NER,2001,246
BEN,2001,245
JAM,2001,238
MDA,2001,233
MWI,2001,220
MLI,2001,207
BFA,2001,189
BDI,2001,189
ZMB,2001,189
BWA,2001,188
MLT,2001,185
GTM,2001,182
MNG,2001,177
SLV,2001,177
KHM,2001,156
TTO,2001,153
RWA,2001,151
SDN,2001,146
SYR,2001,145
BIH,2001,143
GLP,2001,140
PRY,2001,134
IRQ,2001,129
DOM,2001,125
NIC,2001,125
BHR,2001,121
YEM,2001,118
PNG,2001,117
REU,2001,112
PSE,2001,110
MDG,2001,106
ALB,2001,98
BLZ,2001,89
GMB,2001,87
BRB,2001,84
GAB,2001,83
COD,2001,80
BRN,2001,74
LBY,2001,74
MUS,2001,73
GUF,2001,70
FJI,2001,66
HND,2001,66
LAO,2001,63
TGO,2001,63
COG,2001,62
GNB,2001,62
GUM,2001,61
NAM,2001,58
CUW,2001,55
MCO,2001,55
MNE,2001,51
MAC,2001,47
NCL,2001,45
MTQ,2001,44
STP,2001,44
AGO,2001,43
GIN,2001,43
PYF,2001,41
KGZ,2001,38
ERI,2001,37
CAF,2001,35
SLE,2001,34
BMU,2001,31
IMN,2001,31
AFG,2001,29
GRL,2001,28
LBR,2001,27
LIE,2001,26
SOM,2001,25
MDV,2001,24
LSO,2001,23
SWZ,2001,23
BHS,2001,22
GIB,2001,22
ASM,2001,21
CPV,2001,20
TKM,2001,20
TCD,2001,18
VIR,2001,18
PRK,2001,17
CYM,2001,17
DJI,2001,16
MRT,2001,15
FRO,2001,14
JEY,2001,13
HTI,2001,12
GRD,2001,11
GNQ,2001,11
KNA,2001,11
PLW,2001,11
FLK,2001,10
GUY,2001,10
WSM,2001,9
SUR,2001,8
USA,1999,426529
GBR,1999,118524
JPN,1999,107720
DEU,1999,97164
FRA,1999,74741
CAN,1999,48820
ITA,1999,41779
CHN,1999,36724
AUS,1999,33635
ESP,1999,32258
NLD,1999,26669
RUS,1999,24060
IND,1999,21988
BRA,1999,21441
SWE,1999,19459
CHE,1999,19306
POL,1999,18939
KOR,1999,17053
BEL,1999,16874
TWN,1999,13082
ISR,1999,12548
MEX,1999,10491
AUT,1999,9943
DNK,1999,9670
FIN,1999,8662
CZE,1999,7204
NOR,1999,7041
GRC,1999,6637
TUR,1999,6581
HKG,1999,6232
NZL,1999,6108
HUN,1999,5687
ARG,1999,5651
ZAF,1999,5481
SGP,1999,5148
PRT,1999,4915
UKR,1999,4710
IRL,1999,4538
EGY,1999,3558
CHL,1999,3366
SVK,1999,3109
BGR,1999,2561
COL,1999,2376
ROU,1999,2116
